numer 	dzwiek	dlugosc	pozycja x:y
1	E	0.25	99:259
2	E	0.25	165:259
3	E	0.5	233:258
4	E	0.25	354:258
5	E	0.25	424:258
6	E	0.5	495:258
7	E	0.25	623:258
8	G	0.25	697:248
9	C	0.25	772:270
10	C	0.125	847:271
11	D	0.125	894:266
12	E	1	961:263
13	F	0.25	66:441
14	F	0.25	132:440
15	F	0.25	198:440
16	F	0.125	265:440
17	F	0.125	307:440
18	F	0.25	364:440
19	E	0.25	433:446
20	E	0.25	503:447
21	E	0.125	573:447
22	E	0.125	617:447
23	E	0.25	676:447
24	D	0.25	741:453
25	D	0.25	807:454
26	E	0.25	872:449
27	D	0.5	953:455
28	G	0.5	1066:441
29	E	0.25	61:633
30	E	0.25	130:633
31	E	0.5	199:633
32	E	0.25	325:634
33	E	0.25	398:635
34	E	0.5	470:636
35	E	0.25	603:637
36	G	0.25	680:627
37	C	0.25	757:650
38	C	0.125	834:650
39	D	0.125	883:645
40	E	1	951:642
41	F	0.25	57:817
42	F	0.25	122:817
43	F	0.25	186:818
44	F	0.25	251:819
45	F	0.25	332:820
46	E	0.25	405:826
47	E	0.25	478:827
48	E	0.125	552:828
49	E	0.125	598:829
50	G	0.25	658:819
51	G	0.25	727:820
52	F	0.25	797:826
53	D	0.25	866:838
54	C	1	944:846
